账号                                     |日期                                                			 |存款金额|取款金额|余额
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 200.0|8100.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|200.0| 0.0|14500.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 100.0|8200.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|100.0| 0.0|7500.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 200.0|14100.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|200.0| 0.0|14300.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 200.0|14100.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|200.0| 0.0|7700.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 300.0|7900.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|300.0| 0.0|8200.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 200.0|13900.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|200.0| 0.0|8400.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 100.0|8300.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|100.0| 0.0|8400.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 300.0|7400.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|300.0| 0.0|7700.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 100.0|7600.0
1111222233335555|公元 2017年四月26日星期三 12时45分48秒CST|100.0| 0.0|7700.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 300.0|8100.0
1111222233336666|公元 2017年四月26日星期三 12时45分48秒CST|300.0| 0.0|14200.0
1111222233334444|公元 2017年四月26日星期三 12时45分48秒CST|0.0| 100.0|8000.0
